candidate_id,anchor_face_index,anchor_position_object_m,closure_status,contact_face_indices,contact_positions_object_m,fast_filter,fast_reasons,unresolved_checks,task_status,worst_task_margin,lower_tail_mean_margin,required_peak_normal_force_n,maximum_joint_load_utilization,maximum_generalized_joint_torque_nm,wrist_load_utilization,sensitivity,task_failure_reason,nominal_balance_infeasible_count,evidence
candidate_20,7198,-0.0191077265 0.0112898212 0.0272611482,CLOSURE_REJECT,100413 100685,-0.0139866864 -0.0177421146 0.0268874608 | 0.0173659596 -0.0165484049 0.0244849198,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99927,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_21,99437,0.00633110059 -0.0231459887 0.00136372301,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99669,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_22,7259,-0.021729999 0.0045172912 0.0304812563,CLOSURE_REJECT,100461 100805,-0.00926731364 -0.0205993632 0.0264126602 | 0.0239072755 -0.00198940743 0.0251552922,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99979,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_23,100821,0.0225945821 -0.000165547473 0.020416254,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99919,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_24,99137,-0.0235118606 -0.00479791135 0.00171501461,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99369,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_25,100085,-0.0150500975 0.0186795277 0.0256267612,CLOSURE_REJECT,100353 100613,-0.0193231119 -0.0117005261 0.0252530737 | 0.00932634524 -0.0221087969 0.0261019446,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_6920,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_26,100024,-0.0083916933 0.0224714642 0.00952547605,CLOSURE_REJECT,100264 99473,-0.0238868854 -0.00219643331 0.0176216893 | 0.0110630811 -0.0212854054 0.00419951199,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_4558,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_27,100612,0.00967523289 -0.0219507181 0.01401532,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_4441,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_28,99704,0.0222909485 0.00365071521 0.0113560828,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_98767,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_29,99797,0.0188598742 0.0148303446 0.0251966961,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_7069,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_30,30864,-0.00196861801 -0.0109578649 0.00265644367,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_99585,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
candidate_31,100433,-0.0121220046 -0.0207087447 0.0286154139,CLOSURE_REJECT,,,FAST_REJECT,FORBIDDEN_FIRST_CONTACT_FACE_7710,,NOT_EVALUATED,,,,,,,,,,OFFLINE_RESEARCH_NOT_FORMAL
